DB,Title,Authors (separate with//),Year,Language,Script,Lang_geneticprox,Prox_cat,No_nativespeakers,LangFamily,Journal,JournalCountry,StudyDesign,StudyDesign_cat,Region,Relative_no_studiesTA,Category,IUCN,TorNT,English_Abstract,Trans_Abs,Tot_Citations,Tot_crosslang_cit,Tot_crosslang_exclEng,Tot_samelang_cit,PerEng,PerSameLangCit,PerCrossLangCit,No_Langs_Cited,SelfCitations,English,French,Dutch,Russian,Spanish,German,Slovac,Polish,Portugese,Slovenian,Italian,Catalan,Hungarian,Korean,Japanese,Norwegian,Simplified Chinese,Traditional Chinese,Swedish,Danish,Persian,Ukranian,Czech,Finnish,Turkish,Thai,Estonian,Croatian,Icelandic,Latvian,Bulgarian,Lithuanian,Hebrew,Indonesian,Hindi,Bosnian,Greek
NEL,Fifty years of Tern Conservation in Brittany,Arnaud LE NEV?,2005,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,BA,Less complex,Brittany/France,2290,Birds,Least Concern,Not Threatened,Yes,NA,5,1,0,4,0.2,0.8,0.2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"The breeding population of Eurasian Spoonbill
Platalea leucorodia in Briere (Loire-Atlantique,
West France).",Marie-Christine EYBERT // Patrick BONNET // Thomas GESLIN111 // Jacques H?DIN,2005,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,After,Less complex,"Saint Joachim, Saint Malo de Guersac/France",2290,Birds,Least Concern,Not Threatened,Yes,NA,2,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Eurasian Lapwing Vanellus vanellus and cattle rearing: results of ten years of monitoring of the lower Somme valley.,Patrick TRIPLET // Michel URBAN // Delphine ERUNGER // Arnaud SOURNI // Fran?ois SUEUR,2004,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,Somme department/France,2290,Birds,Near Threatened,Not Threatened,NA,NA,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Common Redstart Phoenicurus phoenicurus and
Spotted Flycatcher Muscicapa striata population
s i z e v a r i a t i o n s in mature O a k timber forests of the
A l l i e r (France)",Francois LOVATY,2004,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,Allier/France,2290,Birds,Least Concern,Not Threatened,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Breeding birds of the ""bocage"" in the Morvan
(Burgundy region, France)",Pierre MARION,2004,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,RCT,More complex,"Dun-les-Places, Quarr?-les-Tombes, Saint-Martin de la Mer / Morvan / France",2290,Birds,Least Concern,Not Threatened,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,25 years of harrier conservation in France: the case of the Montagu's Harrier Circus pygargus ,Christian Pacteau,2003,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,After,Less complex,France,2290,Birds,Least Concern,Not Threatened,NA,NA,2,2,1,0,0.5,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Influence of faming practices on habitat use by two typical floodplain bird species of north-eastern France: Whinchat Saxicola rubetra and Curlew Numenius arquata.,JULIAN BRANCIFORTI // SERGE MULLER,2003,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,Meuse/France,2290,Birds,Least Concern,Not Threatened,NA,NA,7,3,0,4,0.43,0.57,0.43,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"An assessment of the experimental attempt to
support Little Owl Athene noctua populations the
Northern Vosges natural regional park.",JEAN-CLAUDE GENOT // FREDDY STURM,2003,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,BA,Less complex,Vosges/France,2290,Birds,Least Concern,Not Threatened,NA,NA,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Causes of death of adult Tawny Owls Strix aluco
in some forests of the Burgundy",HUGUES BAUDVIN // ST?PHANE JOUAIRE,2003,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,RCT,More complex,C?te-d'Or/France,2290,Birds,Least Concern,Not Threatened,Yes,NA,2,1,0,1,0.5,0.5,0.5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Influence of woodland edge structure on bird
communities in the Belgian Ardennes",MICHEL FAUTSCH // WILLY DELVINGT // JEAN-YVES PAQUET,2003,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,St-Hubert/Belgium,2290,Birds,Least Concern,Not Threatened,Yes,NA,6,5,1,1,0.67,0.17,0.83,3,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
